 Singlet    Triplet     RSS (cm-1)    +1 (cm-1)    0 (cm-1)    -1 (cm-1)
---------  ---------  ------------  -----------  ----------  -----------
  S(0)       T(1)          11.9258       8.4328      0.0003       8.4328
  S(0)       T(2)           5.3424       3.7751      0.1973       3.7751
  S(0)       T(3)           9.6584       0.0005      9.6584       0.0005
  S(0)       T(4)           0.0011       0.0000      0.0010       0.0000
  S(0)       T(5)          21.4322      15.1549      0.0030      15.1549
  S(0)       T(6)           4.0624       0.0073      4.0623       0.0073
  S(0)       T(7)          16.8513       8.8169     11.3354       8.8169
  S(0)       T(8)           0.0467       0.0323      0.0101       0.0323
  S(0)       T(9)          41.8723      29.0979      7.7401      29.0979
  S(0)       T(10)         22.4273       0.0091     22.4273       0.0091
  S(1)       T(1)           0.0000       0.0000      0.0000       0.0000
  S(1)       T(2)          14.8413      10.4938      0.1599      10.4938
  S(1)       T(3)          38.0504      26.9057      0.0021      26.9057
  S(1)       T(4)          30.7418      21.7377      0.0006      21.7377
  S(1)       T(5)           0.0010       0.0007      0.0000       0.0007
  S(1)       T(6)           0.0009       0.0006      0.0000       0.0006
  S(1)       T(7)           0.1037       0.0728      0.0116       0.0728
  S(1)       T(8)           0.0004       0.0000      0.0004       0.0000
  S(1)       T(9)           0.2793       0.1965      0.0283       0.1965
  S(1)       T(10)          0.0002       0.0000      0.0002       0.0000
  S(2)       T(1)          38.0504      26.9057      0.0019      26.9057
  S(2)       T(2)          13.6631       0.0009     13.6631       0.0009
  S(2)       T(3)           0.0120       0.0000      0.0120       0.0000
  S(2)       T(4)           3.5490       0.0003      3.5490       0.0003
  S(2)       T(5)           0.0022       0.0013      0.0011       0.0013
  S(2)       T(6)           0.0113       0.0002      0.0112       0.0002
  S(2)       T(7)           0.1046       0.0002      0.1046       0.0002
  S(2)       T(8)           0.0006       0.0000      0.0006       0.0000
  S(2)       T(9)           0.2486       0.0002      0.2486       0.0002
  S(2)       T(10)          0.0887       0.0003      0.0887       0.0003
  S(3)       T(1)          30.7418      21.7377      0.0006      21.7377
  S(3)       T(2)           0.1669       0.0010      0.1669       0.0010
  S(3)       T(3)           3.5488       0.0003      3.5488       0.0003
  S(3)       T(4)           0.0000       0.0000      0.0000       0.0000
  S(3)       T(5)           0.0008       0.0006      0.0000       0.0006
  S(3)       T(6)           0.0061       0.0000      0.0061       0.0000
  S(3)       T(7)           0.0249       0.0001      0.0249       0.0001
  S(3)       T(8)           0.0004       0.0001      0.0004       0.0001
  S(3)       T(9)           0.1019       0.0009      0.1019       0.0009
  S(3)       T(10)          0.0340       0.0001      0.0340       0.0001
  S(4)       T(1)          14.5383      10.2754      0.4424      10.2754
  S(4)       T(2)           0.2263       0.0684      0.2046       0.0684
  S(4)       T(3)          13.2230       0.0009     13.2230       0.0009
  S(4)       T(4)           0.4366       0.0011      0.4366       0.0011
  S(4)       T(5)           6.7531       4.7284      0.9428       4.7284
  S(4)       T(6)           1.6722       0.1995      1.6482       0.1995
  S(4)       T(7)           0.9958       0.2037      0.9533       0.2037
  S(4)       T(8)           1.1271       0.0006      1.1271       0.0006
  S(4)       T(9)           0.9322       0.4927      0.6193       0.4927
  S(4)       T(10)          4.3616       1.2129      4.0102       1.2129
  S(5)       T(1)           0.0005       0.0004      0.0000       0.0004
  S(5)       T(2)           1.0592       0.1712      1.0311       0.1712
  S(5)       T(3)           0.0010       0.0007      0.0000       0.0007
  S(5)       T(4)           0.0007       0.0005      0.0000       0.0005
  S(5)       T(5)           0.0059       0.0040      0.0014       0.0040
  S(5)       T(6)          14.7063      10.3989      0.0009      10.3989
  S(5)       T(7)          36.9457      26.0593      2.6095      26.0593
  S(5)       T(8)          30.7412      21.7373      0.0175      21.7373
  S(5)       T(9)          16.8384       4.9068     15.3420       4.9068
  S(5)       T(10)          1.6612       1.1747      0.0018       1.1747
  S(6)       T(1)           0.0008       0.0006      0.0000       0.0006
  S(6)       T(2)           0.2023       0.1220      0.1058       0.1220
  S(6)       T(3)           0.0173       0.0002      0.0173       0.0002
  S(6)       T(4)           0.0087       0.0000      0.0087       0.0000
  S(6)       T(5)          14.5258      10.2713      0.0015      10.2713
  S(6)       T(6)           0.4400       0.3107      0.0235       0.3107
  S(6)       T(7)          16.5264       0.6838     16.4981       0.6838
  S(6)       T(8)           1.6101       0.0045      1.6101       0.0045
  S(6)       T(9)           6.2257       4.1493      2.0799       4.1493
  S(6)       T(10)          0.6258       0.1480      0.5898       0.1480
  S(7)       T(1)           1.1942       0.8104      0.3354       0.8104
  S(7)       T(2)           0.2598       0.1405      0.1675       0.1405
  S(7)       T(3)           0.9596       0.0001      0.9596       0.0001
  S(7)       T(4)           0.2966       0.0002      0.2966       0.0002
  S(7)       T(5)          36.7736      25.9383      2.5896      25.9383
  S(7)       T(6)          11.4655       0.7668     11.4141       0.7668
  S(7)       T(7)           0.4804       0.3172      0.1719       0.3172
  S(7)       T(8)           4.5986       0.0019      4.5986       0.0019
  S(7)       T(9)           1.2631       0.8808      0.2094       0.8808
  S(7)       T(10)         16.4545       5.6299     14.4000       5.6299
  S(8)       T(1)           0.0009       0.0006      0.0003       0.0006
  S(8)       T(2)           0.6706       0.0013      0.6706       0.0013
  S(8)       T(3)           0.0007       0.0000      0.0007       0.0000
  S(8)       T(4)           0.0006       0.0001      0.0006       0.0001
  S(8)       T(5)          30.7418      21.7377      0.0062      21.7377
  S(8)       T(6)           1.1328       0.0015      1.1328       0.0015
  S(8)       T(7)           3.5373       0.0017      3.5372       0.0017
  S(8)       T(8)           0.0028       0.0000      0.0028       0.0000
  S(8)       T(9)           0.2374       0.0015      0.2374       0.0015
  S(8)       T(10)          6.2371       0.0115      6.2370       0.0115
  S(9)       T(1)           0.0002       0.0000      0.0002       0.0000
  S(9)       T(2)           0.3412       0.2317      0.0950       0.2317
  S(9)       T(3)           0.0000       0.0000      0.0000       0.0000
  S(9)       T(4)           0.0004       0.0000      0.0004       0.0000
  S(9)       T(5)           0.0008       0.0006      0.0000       0.0006
  S(9)       T(6)          15.6843       0.2380     15.6807       0.2380
  S(9)       T(7)           2.1265       1.5036      0.0018       1.5036
  S(9)       T(8)           0.0141       0.0100      0.0007       0.0100
  S(9)       T(9)          12.6217       8.9249      0.0021       8.9249
  S(9)       T(10)         14.5492       0.2847     14.5436       0.2847
  S(10)      T(1)           0.4994       0.3446      0.1089       0.3446
  S(10)      T(2)           2.0587       0.2371      2.0312       0.2371
  S(10)      T(3)           0.3858       0.0001      0.3858       0.0001
  S(10)      T(4)           0.1823       0.0009      0.1823       0.0009
  S(10)      T(5)          18.7211       4.3127     17.6997       4.3127
  S(10)      T(6)           5.5675       3.5726      2.3389       3.5726
  S(10)      T(7)           5.1300       0.4883      5.0834       0.4883
  S(10)      T(8)           1.3088       0.0009      1.3088       0.0009
  S(10)      T(9)          15.7601       0.1842     15.7579       0.1842
  S(10)      T(10)         35.4541      25.0667      0.5572      25.0667
